Patient,endothelial,epithelial,fibroblast,immune,stromal
10,0.007987220447284345,0.7502662406815761,0.1395101171458999,0.005857294994675187,0.09637912673056442
100,0.0020754064337599448,0.4593566240055344,0.1653407125562089,0.008647526807333102,0.3645797301971636
101,0.002002002002002002,0.317650984317651,0.023690357023690357,0.001334668001334668,0.655321988655322
103,0.02857142857142857,0.6668008048289739,0.2861167002012072,0.01006036217303823,0.008450704225352112
104,0.08967391304347826,0.035326086956521736,0.6766304347826086,0.010869565217391304,0.1875
106,0.002642706131078224,0.2584566596194503,0.20560253699788583,0.021141649048625793,0.5121564482029598
107,0.03852002027369488,0.5696908261530664,0.17790167257982767,0.06487582361885454,0.14901165737455652
108,0.03885767790262172,0.005149812734082397,0.4585674157303371,0.04307116104868914,0.45435393258426965
109,0.0038335158817086527,0.34556407447973714,0.4578313253012048,0.000547645125958379,0.192223439211391
11,0.02127659574468085,0.6038357806412946,0.026670662271501347,0.16961342523224454,0.17860353611027868
110,0.06962785114045618,0.1608643457382953,0.4969987995198079,0.21728691476590636,0.055222088835534214
112,0.002384358607534573,0.5851216022889842,0.10491177873152122,,0.30758226037195996
113,0.0003650967506389193,0.34465133260313985,0.10405257393209201,0.0029207740051113546,0.5480102227090179
114,0.005006827492034593,0.8602639963586709,0.02913063268092854,0.002275830678197542,0.10332271279016841
115,0.06409861325115562,0.5402157164869029,0.26440677966101694,0.04560862865947612,0.08567026194144839
116,0.06157556270096463,0.28408360128617366,0.32909967845659166,0.29244372990353695,0.03279742765273312
117,0.0031762837480148226,0.8422445738485972,0.010058231868713605,0.002911593435680254,0.1416093170989942
118,0.01834862385321101,0.7358562691131498,0.21597859327217125,0.002675840978593272,0.027140672782874617
119,0.0032679738562091504,0.2785947712418301,0.18382352941176472,0.00980392156862745,0.5245098039215687
12,0.014124293785310734,0.13135593220338984,0.4477401129943503,0.3672316384180791,0.03954802259887006
120,0.005681818181818182,0.4057486631016043,0.047459893048128345,,0.5411096256684492
121,0.01012507444907683,0.13103037522334723,0.11852293031566409,0.022632519356759976,0.7176891006551519
122,0.00842358604091456,0.4925792218210991,0.3561973525872443,,0.14279983955074207
123,0.01060070671378092,0.14487632508833923,0.6007067137809188,,0.24381625441696114
124,0.005988023952095809,,0.05389221556886228,,0.9401197604790419
125,0.0065170166545981175,0.05068790731354091,0.4837074583635047,0.004344677769732078,0.4547429398986242
127,0.0071912013536379014,0.8741539763113367,0.0071912013536379014,0.0014805414551607445,0.10998307952622674
13,0.010513036164844407,0.6442388561816653,0.25777964676198484,,0.08746846089150546
130,,0.30720823798627,0.17734553775743708,,0.5154462242562929
131,0.03341288782816229,0.6722354813046937,0.273667462211615,0.002386634844868735,0.018297533810660304
133,0.01323943661971831,0.39042253521126763,0.05943661971830986,,0.5369014084507042
134,0.017494356659142212,0.023702031602708805,0.29853273137697517,0.19187358916478556,0.4683972911963883
136,0.003898635477582846,0.5860948667966212,0.11923326835607537,0.06367771280051981,0.22709551656920077
137,0.012980769230769231,0.4182692307692308,0.17548076923076922,0.020192307692307693,0.3730769230769231
138,0.01347905282331512,0.31475409836065577,0.02040072859744991,0.004735883424408015,0.6466302367941712
14,0.03240907454087144,0.24738926899531868,0.3201296362981635,0.12819589485055816,0.2718761253150882
140,0.011347517730496455,0.009929078014184398,0.7361702127659574,0.007801418439716312,0.2347517730496454
142,0.0029940119760479044,0.33532934131736525,0.2934131736526946,0.02694610778443114,0.3413173652694611
144,0.015752741774675973,0.28354935194416747,0.13399800598205383,0.43050847457627117,0.1361914257228315
145,0.04285714285714286,0.2873015873015873,0.15674603174603174,0.11071428571428571,0.4023809523809524
147,0.11594202898550725,0.028985507246376812,0.6231884057971014,0.15942028985507245,0.07246376811594203
148,0.005484460694698354,0.17915904936014626,0.16727605118829983,0.06764168190127971,0.5804387568555759
15,0.10892203771460737,0.10498170560090064,0.3354911342527442,0.3349282296650718,0.11567689276667605
150,0.0203955500618047,0.27564894932014833,0.5377008652657602,0.1588380716934487,0.007416563658838072
151,0.012662337662337663,0.6948051948051948,0.03636363636363636,0.23506493506493506,0.021103896103896104
153,0.015468607825295723,0.04094631483166515,0.7879890809827116,,0.15559599636032756
154,,0.29754601226993865,0.2791411042944785,0.0081799591002045,0.41513292433537835
155,0.07719928186714542,0.2505770710438574,0.026160553988202103,0.09694793536804308,0.549115157732752
156,0.004434589800443459,0.43015521064301554,0.15299334811529933,,0.4124168514412417
157,0.008385744234800839,0.09014675052410902,0.589098532494759,0.008385744234800839,0.3039832285115304
159,0.003586065573770492,0.27151639344262296,0.2843237704918033,0.025614754098360656,0.4149590163934426
16,0.0025,0.3125,0.2075,,0.4775
160,0.00519705500216544,0.7414465136422694,0.0909484625378952,0.0043308791684712,0.15807708964919878
