Patient,FN + FB,T cell,Vim+ FB,aSMA+ FB,endothelial,mixed FB,quies mix str,quies str
19,0.047028086218158065,0.0,0.0,0.20248203788373612,0.0,0.0,0.24493794905290658,0.5055519268451992
193,0.0,0.09490196078431372,0.8062745098039216,0.0,0.07450980392156863,0.0,0.02431372549019608,0.0
194,0.8636363636363636,0.0,0.07272727272727272,0.0,0.0,0.06363636363636363,0.0,0.0
196,0.0,0.0,0.0,0.003257328990228013,0.0,0.0,0.10749185667752444,0.8892508143322475
2,0.02406417112299465,0.03208556149732621,0.1163101604278075,0.0106951871657754,0.00267379679144385,0.00267379679144385,0.7179144385026738,0.09358288770053476
200,0.47014361300075586,0.16099773242630386,0.04383975812547241,0.02343159486016629,0.005291005291005291,0.05139833711262283,0.23733938019652306,0.007558578987150416
201,0.1847041847041847,0.0,0.70995670995671,0.049062049062049064,0.03463203463203463,0.01875901875901876,0.002886002886002886,0.0
202,0.0646725949878739,0.0,0.8787388843977365,0.034761519805982216,0.0008084074373484236,0.014551333872271624,0.0064672594987873885,0.0
205,0.20037629350893696,0.016933207902163686,0.6698024459078081,0.020696142991533398,0.005644402634054563,0.03386641580432737,0.05268109125117592,0.0
206,0.0,0.09651474530831099,0.0,0.6943699731903485,0.0,0.0,0.17560321715817695,0.03351206434316354
207,0.5368261199696279,0.0,0.044798785117691725,0.039483675018982534,0.017463933181473046,0.12680334092634776,0.22323462414578588,0.011389521640091117
208,0.9522058823529411,0.0,0.003676470588235294,0.0,0.0,0.016544117647058824,0.027573529411764705,0.0
210,0.004431314623338257,0.0,0.004431314623338257,0.011816838995568686,0.0,0.005908419497784343,0.29098966026587886,0.6824224519940916
211,0.054613935969868174,0.01694915254237288,0.0009416195856873823,0.0,0.011299435028248588,0.0,0.647834274952919,0.268361581920904
216,0.0,0.0,0.0,0.0,0.0,0.0,0.06973995271867613,0.9302600472813238
217,0.0,0.0,0.028838659392049885,0.5042868277474669,0.0,0.0,0.08417770849571317,0.38269680436477005
219,0.28087167070217917,0.0,0.021791767554479417,0.3280871670702179,0.0,0.010895883777239709,0.1973365617433414,0.16101694915254236
222,0.009345794392523364,0.0005841121495327102,0.016355140186915886,0.09404205607476636,0.037967289719626166,0.0017523364485981308,0.6127336448598131,0.2272196261682243
223,0.0,0.0,0.0,0.0017152658662092624,0.0,0.0,0.05574614065180103,0.9425385934819898
225,0.0,0.001081665765278529,0.002163331530557058,0.04813412655489454,0.0016224986479177934,0.0,0.2817739318550568,0.6652244456462953
226,0.0011802891708468574,0.0008852168781351431,0.01150781941575686,0.3124815579817055,0.39952788433166125,0.0,0.22691059309530834,0.047506639126586016
233,0.9522342064714946,0.026194144838212634,0.020030816640986132,0.0,0.0,0.0,0.0015408320493066256,0.0
234,0.0,0.0,0.038273615635179156,0.004885993485342019,0.8583061889250815,0.0,0.08143322475570032,0.01710097719869707
237,0.176056338028169,0.0,0.0,0.0,0.0,0.0017605633802816902,0.6919014084507042,0.13028169014084506
238,0.12796757382744645,0.0,0.2814128546612623,0.21945570353213664,0.009264620729588882,0.027793862188766647,0.29704690214244356,0.03705848291835553
24,0.0,0.0,0.0,0.23902439024390243,0.0,0.09024390243902439,0.2951219512195122,0.375609756097561
240,0.1265527950310559,0.0,0.36257763975155277,0.02406832298136646,0.18866459627329193,0.008540372670807454,0.2694099378881988,0.020186335403726708
242,0.5378323108384458,0.23585548738922973,0.008861622358554875,0.0013633265167007499,0.022494887525562373,0.0,0.19086571233810498,0.0027266530334014998
243,0.0,0.0,0.08247422680412371,0.8865979381443299,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464
245,0.07068062827225131,0.13949139865370233,0.2591623036649215,0.006357516828721017,0.07479431563201197,0.004487658937920718,0.43829468960359014,0.006731488406881077
246,0.01008827238335435,0.02648171500630517,0.17023959646910466,0.08448928121059268,0.2648171500630517,0.011349306431273645,0.2509457755359395,0.18158890290037832
247,0.0,0.0,0.00706436420722135,0.6632653061224489,0.0,0.01020408163265306,0.23783359497645212,0.08163265306122448
248,0.0,0.0,0.0,0.014634146341463415,0.0,0.0,0.17560975609756097,0.8097560975609757
25,0.01648166834846956,0.003699966363942146,0.15270770265724856,0.14665321224352507,0.022199798183652877,0.0,0.3501513622603431,0.3081062899428187
250,0.04801670146137787,0.0010438413361169101,0.6617954070981211,0.05219206680584551,0.0010438413361169101,0.08455114822546973,0.14718162839248433,0.0041753653444676405
252,0.0,0.0,0.0007524454477050414,0.002257336343115124,0.0,0.0,0.09857035364936043,0.8984198645598194
