Patient,endothelial,epithelial,fibroblast,immune,stromal
133,0.02028169014084507,0.6594366197183099,0.062253521126760566,0.02563380281690141,0.2323943661971831
134,0.022573363431151242,0.03160270880361174,0.22573363431151242,0.32505643340857787,0.39503386004514673
136,0.011371020142949967,0.43437296946068876,0.2244964262508122,0.08771929824561403,0.242040285899935
137,0.020673076923076922,0.47836538461538464,0.09278846153846154,0.19326923076923078,0.21490384615384617
138,0.015664845173041893,0.5340619307832423,0.029508196721311476,0.04626593806921676,0.3744990892531876
14,0.16420597767374864,0.22146200936262153,0.2326251350378106,0.19733525387108392,0.18437162405473534
140,0.01276595744680851,0.5056737588652482,0.4226950354609929,0.028368794326241134,0.03049645390070922
142,0.005988023952095809,0.2904191616766467,0.4311377245508982,0.059880239520958084,0.2125748502994012
144,0.02073778664007976,0.29551345962113656,0.12462612163509472,0.44506480558325023,0.11405782652043868
145,0.07817460317460317,0.3198412698412698,0.1488095238095238,0.11468253968253968,0.3384920634920635
147,0.178743961352657,0.03864734299516908,0.5024154589371981,0.21739130434782608,0.06280193236714976
148,0.016453382084095063,0.1969835466179159,0.20338208409506398,0.10786106032906764,0.4753199268738574
15,0.19617224880382775,0.11370672670982268,0.23501266535322263,0.37405009850830284,0.08105826062482409
150,0.0173053152039555,0.17799752781211373,0.5896168108776267,0.207663782447466,0.007416563658838072
151,0.08051948051948052,0.7558441558441559,0.02077922077922078,0.11103896103896103,0.031818181818181815
153,0.030937215650591446,0.05368516833484986,0.7443130118289354,0.05732484076433121,0.11373976342129208
154,0.002044989775051125,0.28016359918200406,0.3312883435582822,0.012269938650306749,0.37423312883435583
155,0.12131315721979995,0.22723775327006926,0.031033598358553474,0.13926647858425237,0.48114901256732495
156,0.03547671840354767,0.328159645232816,0.2860310421286031,0.0066518847006651885,0.3436807095343681
157,0.010482180293501049,0.2809224318658281,0.5052410901467506,0.0880503144654088,0.11530398322851153
159,0.013831967213114754,0.319672131147541,0.31915983606557374,0.027663934426229508,0.319672131147541
16,0.0025,0.31,0.2825,0.01,0.395
160,0.01039411000433088,0.6899090515374621,0.12299696838458207,0.006063230835859679,0.17063663923776526
161,0.0248015873015873,0.5625,0.20932539682539683,0.036375661375661374,0.1669973544973545
163,0.02685851318944844,0.147242206235012,0.39184652278177456,0.022062350119904078,0.4119904076738609
164,0.009933774834437087,0.2293046357615894,0.75,0.0033112582781456954,0.0074503311258278145
165,0.041604754829123326,0.2050520059435364,0.5520059435364042,0.11664190193164933,0.08469539375928678
166,0.02723558783477077,0.5828415796640944,0.24239673172945983,0.017249205628688154,0.13027689514298685
168,0.028603268945022287,0.5456909361069836,0.1537890044576523,0.019687964338781574,0.25222882615156017
169,0.004829251466022766,0.6315971024491204,0.09244567092100725,0.010693342531907554,0.26043463263194205
17,0.03089321692411014,0.7451309603760914,0.19476158495634655,0.018132975151108125,0.011081262592343854
170,0.024255024255024255,0.6202356202356203,0.34788634788634787,0.007623007623007623,
171,0.04618834080717489,0.29551569506726455,0.14887892376681613,0.01031390134529148,0.49910313901345293
172,0.003964757709251102,0.5991189427312775,0.10616740088105726,0.0013215859030837004,0.2894273127753304
174,0.002488335925349922,0.8208398133748056,0.05598755832037325,0.008087091757387248,0.11259720062208398
176,0.06082345601996257,0.4968808484092327,0.10137242669993762,0.004678727386150967,0.33624454148471616
178,0.005188067444876783,0.625810635538262,0.10246433203631647,0.004539559014267186,0.2619974059662776
179,0.11988847583643122,0.5331474597273854,0.11214374225526642,0.1926889714993804,0.042131350681536554
18,0.007994186046511628,0.5617732558139535,0.06468023255813954,0.006540697674418605,0.35901162790697677
180,0.11,0.6142105263157894,0.16421052631578947,0.06263157894736843,0.04894736842105263
182,0.0010330578512396695,0.7727272727272727,0.10227272727272728,0.005681818181818182,0.11828512396694214
183,0.009644364074743821,0.3405666063893912,0.21760096443640747,0.045207956600361664,0.38698010849909587
184,0.016162825501346904,0.20742292726728526,0.06584854833882071,0.2864411852738701,0.42412451361867703
186,0.03554032112574418,0.46599314450658486,0.07198268085874075,0.29929640988634315,0.12718744362258705
187,,0.014492753623188406,0.4782608695652174,,0.5072463768115942
188,0.005804311774461028,0.29850746268656714,0.5422885572139303,0.03482587064676617,0.11857379767827529
189,0.01752289924332935,0.2524890481879729,0.10712863401035444,0.009557945041816009,0.6133014735165273
19,0.010224948875255624,0.5269256987048399,0.17314246762099522,0.011247443762781187,0.27845944103612813
190,0.015055467511885896,0.19968304278922344,0.384310618066561,0.1133122028526149,0.2876386687797147
191,0.06424581005586592,0.7046089385474861,0.07891061452513966,0.09287709497206705,0.05935754189944134
192,0.02018348623853211,0.518348623853211,0.31880733944954126,0.011926605504587157,0.13073394495412843
193,0.0866838804869052,0.47510143858354853,0.27517521209885654,0.0781999262264847,0.08483954260420509
194,0.022187004754358162,0.17591125198098256,0.7083993660855784,0.08399366085578447,0.009508716323296355
196,0.0046816479400749065,0.2902621722846442,0.15168539325842698,0.10955056179775281,0.4438202247191011
198,0.010275572162540868,0.664175618869687,0.04156936011209715,0.025688930406352173,0.25829051844932277
199,0.03064935064935065,0.4503896103896104,0.4155844155844156,0.02077922077922078,0.0825974025974026
2,0.024354603019970774,0.36970287384315637,0.282513395031661,0.049196298100340964,0.2742328300048709
200,0.0070999453850355,0.7296559257236482,0.1709448388858547,0.03986892408519935,0.05243036592026215
201,0.09006499535747446,0.32497678737233054,0.5283194057567316,0.02135561745589601,0.035283194057567316
202,0.039627039627039624,0.5822843822843823,0.34498834498834496,0.023776223776223775,0.009324009324009324
205,0.014616321559074299,0.6540803897685749,0.23690621193666261,0.0682095006090134,0.026187576126674786
