Patient,20,21,CD20 B cell,CD209+ imm.,CD3 T cell,CD4 T cell,CD44+ str.,CD8 T cell,ColI+ FB,Dendritic cell,FB,FN+ FB,FoxP3 Treg,Macrophage,NK cell,Neutrophil,Pericyte SMA+FB,Quies. str.,Vim+ FB,endothelial
104,0.0,,0.0027548209366391185,,0.008264462809917356,,,,,,,0.25068870523415976,,0.05785123966942149,,,0.013774104683195593,0.15702479338842976,0.3608815426997245,0.1487603305785124
106,0.0,,0.007209805335255948,,0.03316510454217736,,,,,,,0.17447728911319393,,0.011535688536409516,,,0.10454217736121124,0.5436193222782985,0.11535688536409516,0.010093727469358327
107,0.0035190615835777126,,0.0005865102639296188,,0.6293255131964809,,,,,,,0.1372434017595308,,0.05161290322580645,,,0.0011730205278592375,0.0780058651026393,0.04105571847507331,0.05747800586510264
108,0.0,,0.0074503311258278145,,0.02152317880794702,,,,,,,0.20612582781456953,,0.1423841059602649,,,0.36423841059602646,0.0347682119205298,0.13079470198675497,0.09271523178807947
109,0.0,,0.0,,0.0008539709649871904,,,,,,,0.41588385994876176,,0.011955593509820665,,,0.03159692570452605,0.21690862510674638,0.31596925704526047,0.006831767719897523
11,0.0,,0.09599395313681028,,0.30309901738473166,,,,,,,0.025699168556311415,,0.055933484504913075,,,0.009826152683295541,0.3885109599395314,0.03552532123960695,0.0854119425547997
110,0.0,,0.002902757619738752,,0.1378809869375907,,,,,,,0.35268505079825835,,0.03918722786647315,,,0.023222060957910014,0.07547169811320754,0.2409288824383164,0.12772133526850507
112,0.0012903225806451613,,0.0025806451612903226,,0.007741935483870968,,,,,,,0.18838709677419355,,0.10838709677419354,,,0.15225806451612903,0.48774193548387096,0.03483870967741935,0.016774193548387096
113,0.0,,0.0,,0.0024968789013732834,,,,,,,0.05181023720349563,,0.1373283395755306,,,0.0149812734082397,0.6754057428214731,0.11298377028714107,0.004993757802746567
114,0.0,,0.01804123711340206,,0.010309278350515464,,,,,,,0.020618556701030927,,0.015463917525773196,,,0.20876288659793815,0.44329896907216493,0.15979381443298968,0.12371134020618557
115,0.0,,0.002368265245707519,,0.056246299585553584,,,,,,,0.06808762581409118,,0.03848431024274719,,,0.011249259917110717,0.1267021906453523,0.38543516873889877,0.3114268798105388
116,0.003562099263832819,,0.06862977914984564,,0.28876751365471387,,,,,,,0.23201139871764426,,0.020660175730230348,,,0.034671099501306105,0.05105675611493707,0.1462835431014011,0.15435763476608882
117,0.0,,0.002127659574468085,,0.01276595744680851,,,,,,,0.00425531914893617,,0.0851063829787234,,,0.00425531914893617,0.6957446808510638,0.11063829787234042,0.0851063829787234
118,0.0,,0.0,,0.005945303210463734,,,,,,,0.38525564803804996,,0.016646848989298454,,,0.04875148632580262,0.10107015457788347,0.31866825208085614,0.12366230677764566
119,0.0,,0.00243605359317905,,0.012180267965895249,,,,,,,0.21315468940316687,,0.00243605359317905,,,0.001218026796589525,0.6772228989037758,0.08160779537149818,0.0097442143727162
